date,rates_score,rates_regime,us_2s10s,us_5s30s,us_real_10y,us_de_10y_diff,us_jp_10y_diff,it_de_10y_diff
1999-10-25,77.60699919205086,TIGHTENING,0.2560000000000002,0.23299999999999965,4.1271,0.7359999999999998,4.291,0.24299999999999944
1999-10-26,78.20947436781371,TIGHTENING,0.25400000000000045,0.23600000000000065,4.1296,0.8110000000000008,4.3340000000000005,0.266
1999-10-27,78.31645212882059,TIGHTENING,0.2599999999999998,0.22100000000000009,4.1212,0.8719999999999999,4.353,0.2600000000000007
1999-10-28,78.02703252845251,TIGHTENING,0.24600000000000044,0.21799999999999997,4.121300000000001,0.8930000000000007,4.246,0.26400000000000023
1999-10-29,77.22546970465649,TIGHTENING,0.2370000000000001,0.21700000000000053,4.1065000000000005,0.867,4.205,0.2629999999999999
1999-10-30,76.27939229516444,TIGHTENING,0.2370000000000001,0.21700000000000053,4.1065000000000005,0.867,4.205,0.2629999999999999
1999-10-31,75.33740975489422,TIGHTENING,0.2370000000000001,0.21700000000000053,4.1065000000000005,0.867,4.205,0.2629999999999999
1999-11-01,75.18299705157185,TIGHTENING,0.22799999999999976,0.2060000000000004,4.1154,0.9290000000000003,4.2330000000000005,0.24900000000000055
1999-11-02,75.30205519263708,TIGHTENING,0.21499999999999986,0.1930000000000005,4.115399999999999,0.9399999999999995,4.25,0.25099999999999945
1999-11-03,75.90448585419469,TIGHTENING,0.19899999999999984,0.20099999999999962,4.1087,0.8700000000000001,4.226,0.2190000000000003
1999-11-04,76.03680567051738,TIGHTENING,0.2060000000000004,0.20999999999999996,4.0903,0.923,4.163,0.22499999999999964
1999-11-05,75.65109610380782,TIGHTENING,0.20800000000000018,0.19399999999999995,4.0821000000000005,0.944,4.152,0.25099999999999945
1999-11-06,74.90217127070494,TIGHTENING,0.20800000000000018,0.19399999999999995,4.0821000000000005,0.944,4.152,0.25099999999999945
1999-11-07,74.13055786268997,TIGHTENING,0.20800000000000018,0.19399999999999995,4.0821000000000005,0.944,4.152,0.25099999999999945
1999-11-08,73.35622704010177,TIGHTENING,0.22000000000000064,0.18299999999999983,4.0846,1.0030000000000001,4.178000000000001,0.23899999999999988
1999-11-09,73.61205191076058,TIGHTENING,0.20500000000000007,0.1899999999999995,4.0845,0.9900000000000002,4.166,0.2569999999999997
1999-11-10,74.68963587066033,TIGHTENING,0.17600000000000016,0.18900000000000006,4.084300000000001,0.9770000000000003,4.164000000000001,0.24399999999999977
1999-11-11,75.50457240120039,TIGHTENING,0.19200000000000017,0.17799999999999994,4.087,0.9989999999999997,4.18,0.21699999999999964
1999-11-12,75.98811979183841,TIGHTENING,0.16199999999999992,0.18099999999999916,4.0845,1.048,4.149,0.2610000000000001
1999-11-15,76.34237366338994,TIGHTENING,0.15399999999999991,0.17300000000000004,4.0809,1.0,4.16,0.258
1999-11-16,77.21967451776862,TIGHTENING,0.12300000000000022,0.15700000000000003,4.1036,1.0990000000000002,4.168,0.258
1999-11-17,77.65124207302038,TIGHTENING,0.15500000000000025,0.15999999999999925,4.0975,1.0550000000000006,4.178000000000001,0.22000000000000064
1999-11-18,78.49114666504138,TIGHTENING,0.16599999999999948,0.1850000000000005,4.1034999999999995,1.0179999999999998,4.1579999999999995,0.2140000000000004
1999-11-19,79.99882959061362,TIGHTENING,0.1540000000000008,0.17499999999999982,4.110600000000001,0.9820000000000002,4.188000000000001,0.2160000000000002
1999-11-20,81.56040373411693,TIGHTENING,0.1540000000000008,0.17499999999999982,4.110600000000001,0.9820000000000002,4.188000000000001,0.2160000000000002
1999-11-22,82.3876920258975,TIGHTENING,0.14700000000000024,0.17000000000000082,4.119,0.992,4.195,0.2240000000000002
1999-11-23,83.2632100264155,TIGHTENING,0.14000000000000057,0.18299999999999983,4.1206000000000005,0.9780000000000006,4.188000000000001,0.20800000000000018
1999-11-24,84.20080478097023,TIGHTENING,0.12400000000000055,0.1980000000000004,4.1227,0.9090000000000007,4.166,0.22800000000000065
1999-11-25,84.97237969000359,TIGHTENING,0.12300000000000022,0.19500000000000028,4.1248000000000005,0.9190000000000005,4.2,0.2290000000000001
1999-11-26,85.70223607254158,TIGHTENING,0.13699999999999957,0.17799999999999994,4.1271,0.9050000000000002,4.235,0.2400000000000002
1999-11-29,86.15129369701808,TIGHTENING,0.1589999999999998,0.1689999999999996,4.148899999999999,0.9779999999999998,4.351,0.20800000000000018
1999-11-30,86.2108083619125,TIGHTENING,0.1769999999999996,0.17999999999999972,4.1461,1.0659999999999998,4.351,0.2320000000000002
1999-12-01,86.37561499602859,TIGHTENING,0.16100000000000048,0.16999999999999993,4.1632,1.1020000000000003,4.3740000000000006,0.23099999999999987
