date,composite_instability,Europe→US_inst_z,Gold vs SPX_inst_z,10Y vs SPX_inst_z,HY vs SPX_inst_z,AUDJPY vs SPX_inst_z,JPY vs SPX_inst_z,Europe→US_roll21,Gold vs SPX_roll21,10Y vs SPX_roll21,HY vs SPX_roll21,AUDJPY vs SPX_roll21,JPY vs SPX_roll21
1990-06-23,,,,,,,,0.13092781000621403,0.049030952990247456,-0.16222103058683382,,0.2600040147314642,0.08651339483934195
1990-06-25,,,,,,,,0.05013441374683485,-0.0508688813181647,-0.2344072356228034,,0.2823736232277849,0.02349406497163541
1990-06-26,,,,,,,,0.01866297856503605,0.03367235148080866,-0.1444714087624336,,0.41050950165669015,0.15459430207835664
1990-06-27,,,,,,,,0.05604213610927672,0.07219658742340879,-0.19451746047715912,,0.2745311337681095,0.027272434396172798
1990-06-28,,,,,,,,0.04032740079692381,0.15542469021744154,-0.22966459874895237,,0.16933494582349037,-0.10792068085761744
1990-06-29,,,,,,,,0.03173356606740666,0.17178003089706517,-0.2365533549129044,,0.20416982032884615,-0.12235450491744304
1990-06-30,,,,,,,,-0.01361722554740419,0.15367424279592592,-0.23830281793705044,,0.20108095025306338,-0.12647695916239401
1990-07-02,,,,,,,,0.02963090452960589,0.13308280792198865,-0.24241382163155525,,0.207622515896629,-0.17068476307423872
1990-07-03,,,,,,,,-0.08917417022977486,0.1786888481557255,-0.21584081306825337,,0.16634192550480567,-0.037211021382342745
1990-07-04,,,,,,,,-0.08910942949417702,0.1786888481557255,-0.21545559629826783,,0.16574032092964414,-0.030431619485502336
1990-07-05,,,,,,,,0.06575331772210093,0.2011349097857264,-0.25842262923500303,,0.12856880215817176,-0.2814509086519813
1990-07-06,,,,,,,,0.2196473707701691,0.2349218113343472,-0.10270509517854098,,0.0696329811867441,-0.2666648883732973
1990-07-07,,,,,,,,0.1991020897754949,0.21716919484196873,-0.15280515039230966,,0.0784243163027574,-0.25373958756841725
1990-07-09,,,,,,,,0.15163842295414598,0.10118596823830057,-0.1621897146196905,,0.10250879271474797,-0.279712610115739
1990-07-10,,,,,,,,0.2119281557839433,0.17302171094926316,-0.1889743148576511,,0.21376463207065025,-0.07913473296559362
1990-07-11,,,,,,,,0.20945490267671468,0.08345318423320264,-0.19180184855058113,,0.029910277009084708,-0.0701997007634679
1990-07-12,,,,,,,,0.1835909129571985,0.17034115459509555,-0.23033499731048687,,0.007424504328651785,-0.09576316328885635
1990-07-13,,,,,,,,0.1699537118383922,0.2152547286355025,-0.2626459359301271,,-0.1045287014827589,-0.12898526135291524
1990-07-14,,,,,,,,0.1708204745656801,0.216169320225988,-0.271242606898345,,-0.10907052012274951,-0.1373415116259065
1990-07-16,,,,,,,,0.15258550961477152,0.20046132841296302,-0.26232393560851314,,-0.10655755098662328,-0.14064935259487413
1990-07-17,,,,,,,,0.246925145838641,0.2117072740500508,-0.3280960796331823,,-0.21112644987428297,-0.1498399691755475
1990-07-18,,,,,,,,0.039541060854913615,0.22696071982303914,-0.40093468446229985,,0.021239977711781374,-0.06277735164703374
1990-07-19,,,,,,,,0.14124967177472322,0.33240594307127747,-0.3053629002748481,,0.047469128065734036,0.046262173225593915
1990-07-20,,,,,,,,0.19989096700765935,0.32169454018597565,-0.2756496988616228,,-0.04799591189405441,-0.0822513841183796
1990-07-21,,,,,,,,0.17578686891517992,0.3221169730490089,-0.2436507949522683,,-0.03599806843427014,-0.05573262674296917
1990-07-23,,,,,,,,0.26537510531928216,-0.06542403572265461,-0.22676336851885506,,0.056319239592869504,0.041020240452012656
1990-07-24,,,,,,,,0.2611018176061964,-0.09579751246227547,-0.20774485980743382,,0.05722496368747226,0.04974881818754805
1990-07-25,,,,,,,,0.2548249784123861,-0.0612261411857758,-0.23087114243395448,,0.060920999448860126,0.07001092712184623
1990-07-26,,,,,,,,0.19938983813912903,-0.0419597661943073,-0.22792075440522241,,0.05178274461040864,0.06097225255869372
1990-07-27,,,,,,,,0.2464461143684014,-0.03198800505761816,-0.14212754643717632,,0.028390610933336266,0.09491527213601597
